,timestamp_year,timestamp_month,timestamp_day,total_irradiance
651,1981,10,14,1366.105
652,1981,10,15,1366.193
653,1981,10,16,1366.088
654,1981,10,17,1366.0620000000001
655,1981,10,18,1366.382
656,1981,10,19,1366.723
657,1981,10,20,1367.217
658,1981,10,21,1367.8629999999998
659,1981,10,22,1368.5320000000002
660,1981,10,23,1368.58
661,1981,10,24,1368.4679999999998
662,1981,10,25,1368.5510000000002
663,1981,10,26,1368.8329999999999
664,1981,10,27,1368.711
665,1981,10,28,1368.987
666,1981,10,29,1368.719
667,1981,10,30,1368.664
668,1981,10,31,1368.445
669,1981,11,1,1367.731
670,1981,11,2,1367.425
671,1981,11,3,1367.226
672,1981,11,4,1367.0829999999999
673,1981,11,5,1367.671
674,1981,11,6,1368.105
675,1981,11,7,1368.164
676,1981,11,8,1368.385
677,1981,11,9,1368.504
678,1981,11,10,1367.516
679,1981,11,11,1368.06
680,1981,11,12,1367.753
681,1981,11,13,1367.354
682,1981,11,14,1368.0420000000001
683,1981,11,15,1368.2979999999998
684,1981,11,16,1368.5410000000002
685,1981,11,17,1368.7020000000002
686,1981,11,18,1368.04
687,1981,11,19,1368.0520000000001
688,1981,11,20,1368.233
689,1981,11,21,1368.34
690,1981,11,22,1368.1570000000002
691,1981,11,23,1368.733
692,1981,11,24,1369.172
693,1981,11,25,1367.9379999999999
694,1981,11,26,1368.286
695,1981,11,27,1368.499
696,1981,11,28,1368.4879999999998
697,1981,11,29,1367.845
698,1981,11,30,1368.067
699,1981,12,1,1368.529
700,1981,12,2,1368.523
701,1981,12,3,1368.7779999999998
702,1981,12,4,
703,1981,12,5,
704,1981,12,6,1368.471
705,1981,12,7,1367.3970000000002
706,1981,12,8,1367.168
707,1981,12,9,1366.42
708,1981,12,10,1366.771
709,1981,12,11,1367.485
710,1981,12,12,1367.7679999999998
711,1981,12,13,1368.161
712,1981,12,14,1368.402
713,1981,12,15,1368.315
714,1981,12,16,1368.281
715,1981,12,17,1367.925
716,1981,12,18,1368.346
717,1981,12,19,1368.267
718,1981,12,20,1368.146
719,1981,12,21,1368.138
